epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,492.554,1.82481,2.33954,1.17428,0.44906,0.2243,0.21524,0.12893,1.94075,2.75573,1.24163,0.000225736,0.000225736,0.000225736
62,503.34,1.95083,2.6181,1.2165,0.38268,0.22934,0.21056,0.13485,1.94854,2.76026,1.25065,0.000220232,0.000220232,0.000220232
63,510.849,1.90982,2.43291,1.22454,0.42878,0.20139,0.22972,0.13225,1.96169,2.79353,1.24705,0.000214727,0.000214727,0.000214727
64,522.213,1.78792,2.4168,1.15903,0.45656,0.24315,0.2265,0.12263,1.96147,2.80061,1.24692,0.000209223,0.000209223,0.000209223
65,530.013,1.80635,2.35448,1.18316,0.4564,0.24651,0.22312,0.13386,1.90276,2.74362,1.21901,0.000203718,0.000203718,0.000203718
66,535.389,1.86596,2.45635,1.18199,0.46069,0.21181,0.22788,0.13874,1.92131,2.7593,1.22195,0.000198214,0.000198214,0.000198214
67,540.608,1.8681,2.44968,1.20471,0.48794,0.20857,0.22853,0.14084,1.93216,2.78227,1.22161,0.00019271,0.00019271,0.00019271
68,547.286,1.92278,2.43808,1.19137,0.43352,0.21077,0.22003,0.13054,1.94633,2.80275,1.21923,0.000187205,0.000187205,0.000187205
69,556.417,1.83351,2.38362,1.18066,0.44223,0.21401,0.21966,0.1267,1.91836,2.76605,1.22911,0.000181701,0.000181701,0.000181701
70,565.212,1.81211,2.35223,1.16989,0.38923,0.20102,0.21684,0.13121,1.88351,2.72137,1.21765,0.000176196,0.000176196,0.000176196
71,569.858,1.76816,2.38027,1.18214,0.57931,0.18315,0.22279,0.13539,1.87682,2.69465,1.21354,0.000170692,0.000170692,0.000170692
72,577.87,1.79736,2.42226,1.18458,0.64932,0.18254,0.22187,0.13435,1.86759,2.64712,1.20454,0.000165188,0.000165188,0.000165188
73,584.693,1.83734,2.3182,1.17902,0.44662,0.21422,0.22998,0.13291,1.88551,2.66054,1.2138,0.000159683,0.000159683,0.000159683
74,593.017,1.85883,2.47692,1.1674,0.48509,0.20556,0.22053,0.13151,1.88035,2.67107,1.21909,0.000154179,0.000154179,0.000154179
75,600.027,1.8881,2.3961,1.20085,0.38465,0.21443,0.21606,0.1347,1.86729,2.64213,1.21097,0.000148674,0.000148674,0.000148674
76,605.71,1.87283,2.45437,1.18364,0.33361,0.23002,0.21669,0.13461,1.85097,2.64718,1.20146,0.00014317,0.00014317,0.00014317
77,612.194,1.86781,2.35724,1.17194,0.68355,0.19178,0.21632,0.13294,1.86146,2.64961,1.2084,0.000137666,0.000137666,0.000137666
78,620.763,1.79103,2.20161,1.17478,0.34303,0.21228,0.21519,0.13353,1.83785,2.60671,1.1958,0.000132161,0.000132161,0.000132161
79,627.123,1.77084,2.25291,1.17697,0.7439,0.20215,0.23136,0.1342,1.84108,2.59884,1.19502,0.000126657,0.000126657,0.000126657
80,637.807,1.77127,2.25719,1.16238,0.75268,0.19931,0.22448,0.13976,1.86069,2.62039,1.20788,0.000121152,0.000121152,0.000121152
81,645.389,1.85907,2.24734,1.19255,0.69799,0.19937,0.22273,0.1433,1.85558,2.64228,1.2043,0.000115648,0.000115648,0.000115648
82,652.292,1.82102,2.35116,1.20474,0.73723,0.19966,0.23666,0.14429,1.8593,2.63625,1.20197,0.000110144,0.000110144,0.000110144
83,661.089,1.82573,2.30357,1.15441,0.44758,0.26136,0.2331,0.1377,1.85238,2.63781,1.20373,0.000104639,0.000104639,0.000104639
84,665.764,1.74674,2.23937,1.12647,0.43081,0.25345,0.22398,0.13826,1.84582,2.64092,1.19724,9.91348e-05,9.91348e-05,9.91348e-05
85,671.519,1.74403,2.34627,1.14169,0.41007,0.23918,0.22475,0.13833,1.86352,2.65064,1.20201,9.36304e-05,9.36304e-05,9.36304e-05
86,683.497,1.74098,2.21427,1.17374,0.66046,0.19586,0.23785,0.14198,1.85548,2.6644,1.20469,8.8126e-05,8.8126e-05,8.8126e-05
87,688.447,1.75771,2.23797,1.15462,0.45578,0.23658,0.23388,0.14001,1.83842,2.64401,1.19988,8.26216e-05,8.26216e-05,8.26216e-05
88,696.215,1.81917,2.31175,1.16765,0.44921,0.2291,0.22574,0.13705,1.85163,2.60766,1.19732,7.71172e-05,7.71172e-05,7.71172e-05
89,702.747,1.82959,2.29173,1.19402,0.41316,0.25322,0.22722,0.14442,1.85949,2.59817,1.2015,7.16128e-05,7.16128e-05,7.16128e-05
90,713.112,1.74555,2.29533,1.13711,0.43688,0.24801,0.22913,0.14511,1.85318,2.59792,1.19475,6.61084e-05,6.61084e-05,6.61084e-05
91,779.519,1.89695,2.4815,1.24052,0.44918,0.24591,0.22972,0.1449,1.85341,2.60672,1.19255,6.0604e-05,6.0604e-05,6.0604e-05
92,792.277,1.9239,2.59245,1.20218,0.46315,0.25303,0.23988,0.14759,1.85338,2.63227,1.19567,5.50996e-05,5.50996e-05,5.50996e-05
93,804.402,1.86591,2.47731,1.21938,0.45916,0.2519,0.23278,0.14419,1.83558,2.65195,1.18358,4.95952e-05,4.95952e-05,4.95952e-05
94,816.523,1.83209,2.40956,1.17384,0.43152,0.26323,0.23411,0.14371,1.84144,2.67165,1.18294,4.40908e-05,4.40908e-05,4.40908e-05
95,829.774,1.83327,2.48377,1.17561,0.429,0.25423,0.23211,0.14576,1.83901,2.67224,1.1821,3.85864e-05,3.85864e-05,3.85864e-05
96,843.936,1.91043,2.45428,1.213,0.44237,0.26612,0.24497,0.14592,1.83711,2.66693,1.18326,3.3082e-05,3.3082e-05,3.3082e-05
97,850.843,1.86173,2.51717,1.19831,0.4422,0.2734,0.24678,0.14786,1.84091,2.66468,1.18373,2.75776e-05,2.75776e-05,2.75776e-05
98,859.283,1.79619,2.43685,1.17205,0.45055,0.27806,0.24681,0.14965,1.82474,2.65743,1.17669,2.20732e-05,2.20732e-05,2.20732e-05
99,865.958,1.76722,2.39078,1.17465,0.44548,0.28055,0.24716,0.15045,1.82235,2.65172,1.17448,1.65688e-05,1.65688e-05,1.65688e-05
100,873.576,1.75116,2.28821,1.1744,0.4448,0.28439,0.24747,0.15014,1.8181,2.64456,1.17169,1.10644e-05,1.10644e-05,1.10644e-05
